edge_id,length
:-10812_2,5.03
:-10812_3,10.33
:-10812_4,5.11
:-10812_5,9.50
:-10820_0,9.64
:-10820_3,4.35
:-10820_11,12.23
:-10820_4,5.08
:-10820_5,17.38
:-10820_7,5.28
:-10820_8,9.56
:-10836_0,11.71
:-10836_3,5.02
:-10836_11,14.71
:-10836_4,5.68
:-10836_5,18.43
:-10836_7,7.72
:-10836_8,10.48
:-10848_0,7.67
:-10848_1,4.10
:-10848_6,5.37
:-10848_2,6.53
:-10848_3,11.39
:-10848_4,5.26
:-10848_5,9.25
:-10854_0,6.09
:-10854_1,5.85
:-10854_2,5.06
:-10854_3,7.75
:-1086_0,8.31
:-1086_3,3.36
:-1086_11,12.08
:-1086_4,5.28
:-1086_5,17.94
:-1086_7,5.06
:-1086_8,9.12
:-10878_0,9.85
:-10878_1,5.24
:-10878_6,5.31
:-10878_2,5.57
:-10878_3,11.11
:-10878_4,5.19
:-10878_5,9.65
:-10886_0,4.84
:-10886_1,9.07
:-10886_2,8.11
:-10886_3,4.81
:-10886_6,4.81
:-10886_4,4.83
:-10886_5,9.62
:-10888_0,4.85
:-10888_1,5.28
:-10890_0,3.10
:-10890_1,4.75
:-10908_0,9.43
:-10908_1,5.11
:-10908_6,5.18
:-10908_2,5.07
:-10908_3,10.39
:-10908_4,5.01
:-10908_5,9.48
:-10952_0,5.17
:-10952_1,17.85
:-10952_3,5.05
:-10952_4,9.45
:-10952_7,9.33
:-10952_10,3.82
:-10952_11,12.03
:-1096_0,5.06
:-1096_1,6.38
:-1096_2,3.24
:-1096_3,3.29
:-10960_0,9.35
:-10960_1,5.11
:-10960_6,5.13
:-10960_2,5.00
:-10960_3,10.27
:-10960_4,4.99
:-10960_5,9.45
:-10970_0,5.87
:-10970_1,9.66
:-10970_2,9.76
:-10970_3,5.57
:-10970_6,5.83
:-10970_4,5.26
:-10970_5,10.55
:-10974_0,5.16
:-10974_1,15.50
:-10974_2,6.95
:-10974_3,15.86
:-10974_5,14.85
:-10974_7,6.56
:-10974_8,10.28
:-10978_0,9.40
:-10978_1,5.18
:-10978_6,5.18
:-10978_2,5.01
:-10978_3,10.28
:-10978_4,5.06
:-10978_5,9.47
:-11014_0,5.07
:-11014_1,6.19
:-11014_2,6.17
